url,category,tags
https://www.alura.com.br/curso-online-react-native-parte-2,computer_science,"[""Mobile""]"
https://www.alura.com.br/curso-online-redes-introducao,computer_science,"[""Infraestrutura""]"
https://www.alura.com.br/curso-online-recyclerview-listas-flexiveis-e-performaticas,computer_science,"[""Mobile""]"
https://www.alura.com.br/curso-online-react-parte-2,computer_science,"[""Front-end""]"
https://www.alura.com.br/curso-online-react-native-parte-1,computer_science,"[""Mobile""]"
https://www.alura.com.br/curso-online-razor,computer_science,"[""Programação""]"
https://www.alura.com.br/curso-online-raspberrypi-da-instalacao-ao-media-center,computer_science,"[""Infraestrutura""]"
https://www.alura.com.br/curso-online-react,computer_science,"[""Front-end""]"
https://www.alura.com.br/curso-online-raspberrypi-servidor,computer_science,"[""Infraestrutura""]"
https://www.alura.com.br/curso-online-raspberrypi-controlando-o-mundo-com-gpio,computer_science,"[""Infraestrutura""]"
https://www.alura.com.br/curso-online-raspberry-pi-rfid-e-aws-dynamo-db,computer_science,"[""Infraestrutura""]"
https://www.alura.com.br/curso-online-python-3-introducao-a-nova-versao-da-linguagem,computer_science,"[""Programação""]"
https://www.alura.com.br/curso-online-python-3-intro-orientacao-objetos,computer_science,"[""Programação""]"
https://www.alura.com.br/curso-online-raspberrypi-carro-espiao-com-camera-wifi-e-sensor,computer_science,"[""Infraestrutura""]"
https://www.alura.com.br/curso-online-raspberry-pi-node-red,computer_science,"[""Infraestrutura""]"
https://www.alura.com.br/curso-online-python-3-avancando-orientacao-objetos,computer_science,"[""Programação""]"
https://www.alura.com.br/curso-online-prototipagem-ux-link-com-telas-no-adobe-xd,arts_and_design,"[""Design & UX""]"
https://www.alura.com.br/curso-online-prompt,computer_science,"[""Infraestrutura""]"
https://www.alura.com.br/curso-online-projetos-de-algoritmos-2,computer_science,"[""Programação""]"
https://www.alura.com.br/curso-online-python-3-avancando-na-linguagem,computer_science,"[""Programação""]"
https://www.alura.com.br/curso-online-prototipagem-alta-fidelidade-adobe-xd,arts_and_design,"[""Design & UX""]"
https://www.alura.com.br/curso-online-projetos-graficos-com-indesign,arts_and_design,"[""Design & UX""]"
https://www.alura.com.br/curso-online-projetos-de-algoritmos-1,computer_science,"[""Programação""]"
https://www.alura.com.br/curso-online-projeto-controle-horas-java,computer_science,"[""Programação""]"
https://www.alura.com.br/curso-online-projeto-carreira-front-end,computer_science,"[""Front-end""]"
https://www.alura.com.br/curso-online-projeto-javaee,computer_science,"[""Programação""]"
https://www.alura.com.br/curso-online-projeto-carreira-javascript,computer_science,"[""Front-end""]"
https://www.alura.com.br/curso-online-projeto-asp-net-mvc-5-entity-framework,computer_science,"[""Programação""]"
https://www.alura.com.br/curso-online-producao-video,arts_and_design,"[""Design & UX""]"
https://www.alura.com.br/curso-online-principios-influencia,business,"[""Business""]"
